"","codigo_ocorrencia","ocorrencia_classificacao","ocorrencia_tipo","ocorrencia_tipo_categoria","ocorrencia_tipo_icao","ocorrencia_latitude","ocorrencia_longitude","ocorrencia_cidade","ocorrencia_uf","ocorrencia_aerodromo","ocorrencia_dia","ocorrencia_horario","total_recomendacoes","total_aeronaves_envolvidas","ocorrencia_saida_pista","aeronave_operador_categoria","aeronave_tipo_veiculo","aeronave_fabricante","aeronave_modelo","aeronave_tipo_icao","aeronave_motor_tipo","aeronave_motor_quantidade","aeronave_pmd","aeronave_pmd_categoria","aeronave_assentos","aeronave_ano_fabricacao","aeronave_pais_fabricante","aeronave_pais_registro","aeronave_registro_segmento","aeronave_fase_operacao","aeronave_tipo_operacao","aeronave_nivel_dano","total_fatalidades","fator_nome","fator_aspecto","fator_condicionante","fator_area"
"1","200901015424167","ACIDENTE","FALHA DO MOTOR EM VOO","FALHA OU MAU FUNCIONAMENTO DO MOTOR","SCF-PP",-23.5694,-46.2703,"MOGI DAS CRUZES","SP",NA,2009-01-01,15:35:00,6,1,"NÃO","OPERADOR DE AERONAVE","AVIÃO","NORTH AMERICAN","AT-6D","T6","PISTÃO","MONOMOTOR","2404","ENTRE 2250 E 5700 KG",2,"1942","ESTADOS UNIDOS","BRASIL","ESPECIALIZADA","ESPECIALIZADA","OPERAÇÃO ESPECIALIZADA","SUBSTANCIAL",0,"MANUTENÇÃO DE AERONAVE","DESEMPENHO DO SER HUMANO","MANUTENÇÃO DA AERONAVE","FATOR OPERACIONAL"
"2","200901015424167","ACIDENTE","FALHA DO MOTOR EM VOO","FALHA OU MAU FUNCIONAMENTO DO MOTOR","SCF-PP",-23.5694,-46.2703,"MOGI DAS CRUZES","SP",NA,2009-01-01,15:35:00,6,1,"NÃO","OPERADOR DE AERONAVE","AVIÃO","NORTH AMERICAN","AT-6D","T6","PISTÃO","MONOMOTOR","2404","ENTRE 2250 E 5700 KG",2,"1942","ESTADOS UNIDOS","BRASIL","ESPECIALIZADA","ESPECIALIZADA","OPERAÇÃO ESPECIALIZADA","SUBSTANCIAL",0,"SUPERVISÃO GERENCIAL","DESEMPENHO DO SER HUMANO","OPERAÇÃO DA AERONAVE","FATOR OPERACIONAL"
"3","200901015424167","ACIDENTE","FALHA DO MOTOR EM VOO","FALHA OU MAU FUNCIONAMENTO DO MOTOR","SCF-PP",-23.5694,-46.2703,"MOGI DAS CRUZES","SP",NA,2009-01-01,15:35:00,6,1,"NÃO","OPERADOR DE AERONAVE","AVIÃO","NORTH AMERICAN","AT-6D","T6","PISTÃO","MONOMOTOR","2404","ENTRE 2250 E 5700 KG",2,"1942","ESTADOS UNIDOS","BRASIL","ESPECIALIZADA","ESPECIALIZADA","OPERAÇÃO ESPECIALIZADA","SUBSTANCIAL",0,"JULGAMENTO DE PILOTAGEM","DESEMPENHO DO SER HUMANO","OPERAÇÃO DA AERONAVE","FATOR OPERACIONAL"
"4","200901022242090","INCIDENTE","COLISÃO DE VEÍCULO COM AERONAVE","COLISÃO NO SOLO","GCOL",-23.4685,-46.5311,"GUARULHOS","SP","SBGR",2009-01-02,13:30:00,0,1,"NÃO","OPERADOR DE AERONAVE","AVIÃO","AIRBUS INDUSTRIE","A320-214","A320","JATO","BIMOTOR","77000","ACIMA DE 5700 KG",184,"2008","FRANÇA","BRASIL","REGULAR","OPERAÇÃO DE SOLO","VOO REGULAR","LEVE",0,NA,NA,NA,NA
"5","200901022262333","INCIDENTE","COM TREM DE POUSO","FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE","SCF-NP",-3.3864,-57.715,"MAUÉS","AM",NA,2009-01-02,10:50:00,0,1,"NÃO","OPERADOR DE AERONAVE","AVIÃO","EMBRAER","EMB-810C","PA34","PISTÃO","BIMOTOR","2073","ATÉ 2250 KG",7,"1979","BRASIL","BRASIL","TÁXI AÉREO","POUSO","TÁXI AÉREO","LEVE",0,NA,NA,NA,NA
"6","200901026851664","INCIDENTE","FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ","FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ","SCF-NP",-26.8974,-48.6492,"NAVEGANTES","SC","SBNF",2009-01-02,17:00:00,0,1,"NÃO","OPERADOR DE AERONAVE","AVIÃO","AIRBUS INDUSTRIE","A319-132","A319","JATO","BIMOTOR","64000","ACIMA DE 5700 KG",154,"1999","FRANÇA","BRASIL","REGULAR","SUBIDA","VOO REGULAR","NENHUM",0,NA,NA,NA,NA
"7","200901035320123","INCIDENTE","COLISÃO COM OBSTÁCULOS NO SOLO","COLISÃO NO SOLO","GCOL",-21.7609,-43.3488,"JUIZ DE FORA","MG","SBJF",2009-01-03,19:30:00,0,1,"SIM","AEROCLUBE","AVIÃO","AERO BOERO","AB-115","AB11","PISTÃO","MONOMOTOR","770","ATÉ 2250 KG",2,"1992","ARGENTINA","BRASIL","INSTRUÇÃO","DECOLAGEM","VOO DE INSTRUÇÃO","LEVE",0,NA,NA,NA,NA
"8","200901037254487","INCIDENTE","CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO","OUTROS","OTHR",-15.7941,-47.8879,"BRASÍLIA","DF","SBBR",2009-01-03,20:00:00,0,1,"NÃO","OPERADOR DE AERONAVE","AVIÃO","AIRBUS INDUSTRIE","A320-232","A320","JATO","BIMOTOR","77000","ACIMA DE 5700 KG",166,"2006","FRANÇA","BRASIL","REGULAR","CRUZEIRO","VOO REGULAR","NENHUM",0,NA,NA,NA,NA
"9","200901041065154","INCIDENTE","FALHA DO MOTOR EM VOO","FALHA OU MAU FUNCIONAMENTO DO MOTOR","SCF-PP",-20.7887,-51.71,"TRÊS LAGOAS","MS",NA,2009-01-04,02:00:00,0,1,"NÃO","OPERADOR DE AERONAVE","AVIÃO","EMBRAER","EMB-810D","PA34","PISTÃO","BIMOTOR","2155","ATÉ 2250 KG",7,"1985","BRASIL","BRASIL","TÁXI AÉREO","CRUZEIRO","TÁXI AÉREO","NENHUM",0,NA,NA,NA,NA
"10","200901045337520","INCIDENTE","ESTOURO DE PNEU","FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE","SCF-NP",-0.9728,-62.9257,"BARCELOS","AM","SWBC",2009-01-04,15:56:00,0,1,"NÃO","OPERADOR DE AERONAVE","AVIÃO","EMBRAER","EMB-110P1","E110","TURBOÉLICE","BIMOTOR","5670","ENTRE 2250 E 5700 KG",21,"1980","BRASIL","BRASIL","REGULAR","CORRIDA APÓS POUSO","VOO REGULAR","LEVE",0,NA,NA,NA,NA
"11","200901053739558","INCIDENTE","FOGO NO SOLO","FOGO/FUMAÇA (SEM IMPACTO)","F-NI",-3.7238,-38.5899,"FORTALEZA","CE","SBFZ",2009-01-05,20:15:00,0,1,"NÃO","ÓRGÃO PÚBLICO","AVIÃO","AERO BOERO","AB-115","AB11","PISTÃO","MONOMOTOR","770","ATÉ 2250 KG",2,"1991","ARGENTINA","BRASIL","INSTRUÇÃO","PARTIDA DO MOTOR","VOO DE INSTRUÇÃO","NENHUM",0,NA,NA,NA,NA
